SKU;Nombre;EAN;Precio por unidad;Precio internet;Marca
325808;Ensalada Repollo Blanco  300 gr;7809530600055;Precio x Kg : $5 966;1790;Repollo
957919;Ensalada Apio Media Luna  420 g;7804640800548;Precio x Kg : $5 690;2390;Lider
957961;Ensalada Siciliana  300 g;7804640800616;Precio x Kg : $4 633;1390;Lider
957931;Ensalada De Zanahoria Juliana  300 g;7804640800562;Precio x Kg : $4 966;1490;Your Fresh Market
957955;Ensalada Repollo Blanco  300 g;7804640800609;Precio x Kg : $5 300;1590;Lider
328038;Baby Leaf Pote  150 gr;7804636170099;Precio x Kg : $13 933;2090;Ensalada
328402;Espinaca Baby Pote  150 gr;7804636170150;Precio x Kg : $19 933;2990;Espinaca
957943;Ensalada De Espinaca  200 g;7804640800586;Precio x Kg : $9 250;1850;Your Fresh Market
331872;Albahaca Pote  150 gr;7804636170303;Precio x Kg : $21 666;3250;Albahaca
957949;Ensalada Repollo Morado  300 g;7804640800593;Precio x Kg : $4 833;1450;Lider
3779;Ensalada Lechuga Escarola  300 gr;7809530600048;Precio x Kg : $6 166;1850;Lechuga
957979;Apio Juliana  300 g;7804640800647;Precio x Kg : $7 833;2350;Your Fresh Market
323540;Ensalada Summer mix Caja  150 gr;7809530601090;Precio x Kg : $20 600;3090;Ensalada
957985;Ensalada Brócoli  300 g;7804640800654;Precio x Kg : $4 500;1350;Your Fresh Market
7539;Ensalada Apio Media Luna  420 gr;7809530601236;Precio x Kg : $6 547;2750;Apio
957937;Ensalada Napolitana  300 g;7804640800579;Precio x Kg : $4 833;1450;Your Fresh Market
1052763;Zanahoria Corte Noodle  250 g;7804640800838;Precio x Kg : $5 800;1450;Lider
325594;Apio Mini Varitas Bolsa  400 gr ;7809530601311;Precio x Kg : $9 125;3650;Apio
484803;Espinaca Baby Pote  140 g;7809530601991;Precio x Kg : $26 071;3650;Espinaca
957991;Salsa Verde Pote  200 g;7804640800661;Precio x Kg : $7 450;1490;Lider
1145434;Ensalada Miso  270 gr;7804676940218;Precio x Kg : $14 777;3990;Dole
1052765;Betarraga Corte Noodle  250 g;7804640800845;Precio x Kg : $5 160;1290;Lider
329300;Ensalada Cesar  300 gr;7809530600420;Precio x Kg : $10 500;3150;Ensalada
422173;Salanova Hojas  150 gr;7804636170426;Precio x Kg : $15 266;2290;Ensalada
329374;Ensalada Italiana  400 gr;7809530600437;Precio x Kg : $7 875;3150;Ensalada
997577;Ensalada Espinaca Picada  350 gr;7809530603896;Precio x Kg : $2 857;1390;Ensalada
1356700;Ensalada Coleslaw  300 g;7804676940171;Precio x Kg : $12 166;3650;Dole
1356698;Ensalada Country Ranch  350 g;7804676940188;Precio x Kg : $10 428;3650;Dole
1356696;Ensalada Sunflower Crunch  350 g;7804676940270;Precio x Kg : $10 428;3650;Dole
1231109;Wok Thai  300 gr;7803946000812;Precio x Kg : $8 166;2450;Agrosano
1112437;Piña Pelada Tubular  500 g;7804670730495;Precio x Kg : $7 100;3550;Your Fresh Market
1081268;Piña Picada  200 g;7804670730457;Precio x Kg : $9 950;1990;Lider
1081270;Piña y Frutilla Picada  200 g;7804670730433;Precio x Kg : $9 950;1990;Lider
1081272;Piña  Frutilla y Mango Picada  200 g;7804670730440;Precio x Kg : $9 950;1990;Lider
