Nombre;medida;Precio
Kitchenita Ciabatta Serrano Brie más Shot;1 Und;$4.390
Sky Chefs Wrap de Pollo;233 g;$3.350
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
La Crianza Pizza Pepperoni;1 X 1 Und;$5.950
Mega Nestlé-Savory Paleta Mini Frambuesa;1 X 5 Und;$5.190
Bresler Magnum Multi Pack Mini Almendra 60 Ml;1 X 5 Und;$4.190
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
Savory-La Cremeria Helado De Brownie;1 X 1 L;$4.790
Savory Danky Sahne-Nuss Mini Paletas de Chocolate;5 X 60 mL;$5.190
Savory Kriko Helado Mini;6 X 50 mL;$4.090
Savory Helado Sabor Piña;1 X 1 L;$2.990
Savory Helado Vainilla;1 X 1 L;$2.990
Savory-La Cremeria Helado Tres Leches;1 X 1 L;$4.790
Rock Hielo;1 X 2 Kg;$1.250
Carozzi Pastas Caracoquesos;296 g;$1.490
Talliani Tallarin Nº77;400 g;$990
Carozzi Fideo Corbata N°80;1 X 400 g;$950
Carozzi Pasta Ravioli Con Carne;1 X 400 g;$1.890
Talliani Spaghetti 5 Al Huevo;400 g;$990
Barilla Spaghetti N°5 Integral;500 g;$1.879$2.890
Carozzi Pasta Cabellos de Angel;1 X 400 g;$950
Lucchetti Pasta Canelones;1 X 250 g;$1.990
Lucchetti Pastas Espirales Integral;400 g;$990
Carozzi Fideo Espiral N°49;400 g;$950
Talliani Pasta Farfalle Huevos Fresco;1 X 400 g;$990
Fideos Thai Arroz;1 Und;$3.250
Tucapel Arroz Grado 1 Grano Seleccion;1 Kg;$1.790
Banquete Arroz G2 Largo Premium; X 1 Kg;$1.650
Banquete Arroz G2 Largo Premium; X 1 Kg;$1.790
Carozzi Quinoa; X 250 g;$2.190
Tucapel Arroz Integral Grano Largo Ancho;1 X 1 Kg;$1.890
Tucapel Arroz Preparado Sushi Con Algas Y Palitos;400 g;$2.490
Banquete Arroz Integral Multigrano;400 g;$1.190
